crop_time,read_image_time,model_time,full_time,run_time
39.60,274634.20,0.60,274683.80,49.60
39.40,2916.10,1.00,2969.80,53.70
36.10,7859.20,0.50,7906.20,47.00
35.00,31243.60,0.60,31288.20,44.60
80.80,24967.20,0.60,25061.80,94.60
37.40,26188.60,0.70,26256.10,67.50
34.40,23006.30,1.20,23052.50,46.20
33.80,34928.60,0.60,34973.90,45.30
37.30,37712.00,1.00,37760.10,48.10
33.30,28539.30,0.80,28583.10,43.80
33.70,28324.20,0.70,28366.50,42.30
43.70,17101.30,0.60,17156.00,54.70
32.30,29483.40,1.00,29524.60,41.20
35.30,29093.20,0.80,29136.90,43.70
33.70,28741.50,0.50,28783.90,42.40
56.20,22859.50,1.00,22926.30,66.80
35.50,27459.90,0.60,27505.40,45.50
42.50,27367.00,0.40,27419.90,52.90
31.20,28503.00,0.40,28544.10,41.10
31.90,44966.10,0.60,45006.60,40.50
31.50,22734.00,0.60,22776.30,42.30
33.60,28653.70,0.40,28697.10,43.40
28.50,29619.10,0.40,29655.60,36.50
103.90,39740.20,0.80,39866.10,125.90
31.30,16228.90,0.80,16271.00,42.10
33.90,30374.70,0.90,30419.80,45.10
32.50,27824.90,0.80,27868.50,43.60
37.90,29997.40,0.50,30045.90,48.50
40.60,34467.00,0.80,34519.80,52.80
36.50,16942.40,0.90,16990.80,48.40
34.70,26122.40,0.60,26167.20,44.80
35.40,27955.30,0.50,28002.70,47.40
32.70,44250.00,0.40,44293.90,43.90
35.90,28316.20,0.70,28362.90,46.70
35.90,29524.10,0.50,29568.60,44.50
42.50,28344.20,0.70,28397.70,53.50
33.00,30296.10,0.50,30338.00,41.90
33.70,27987.20,0.50,28030.30,43.10
32.30,28983.00,0.90,29024.30,41.30
31.60,29614.10,0.60,29655.10,41.00
30.40,27876.90,0.60,27915.50,38.60
41.60,27698.10,0.50,27750.00,51.90
31.90,26464.60,0.70,26506.50,41.90
35.70,29391.60,1.20,29438.00,46.40
31.40,42466.90,0.50,42507.90,41.00
33.20,29469.70,0.50,29513.00,43.30
34.30,28748.70,0.70,28791.70,43.00
32.40,28491.00,0.50,28531.60,40.60
31.30,28709.70,0.50,28750.70,41.00
36.20,28921.60,0.90,28967.10,45.50
34.00,29530.10,0.50,29573.70,43.60
36.50,28738.00,0.50,28796.00,58.00
40.80,27494.40,0.80,27546.00,51.60
44.00,28153.30,0.60,28208.30,55.00
31.90,24899.80,0.50,24940.80,41.00
33.50,27790.70,0.50,27833.90,43.20
32.50,44646.80,0.50,44688.40,41.60
33.30,30082.90,0.90,30124.80,41.90
33.70,27253.80,0.50,27297.60,43.80
33.10,27968.40,0.50,28009.90,41.50
31.30,28707.80,0.50,28748.80,41.00
33.20,28579.50,1.00,28622.10,42.60
27.60,28408.30,0.70,28444.80,36.50
31.10,29941.60,0.50,29980.90,39.30
33.20,31350.10,0.60,31391.70,41.60
42.90,25253.30,0.50,25307.40,54.10
35.80,28430.80,0.80,28476.50,45.70
28.90,27962.30,0.70,28001.70,39.40
32.90,43501.60,0.60,43544.80,43.20
33.30,29094.60,0.60,29138.00,43.40
35.70,28293.90,0.70,28338.80,44.90
35.60,30159.20,0.60,30204.70,45.50
32.40,27686.70,0.60,27727.70,41.00
32.20,28507.90,0.40,28548.40,40.50
32.70,29459.80,0.50,29500.70,40.90
